Region,N,Alexa_pos_count,Cy3_pos_count,Coexpress_count,Sox2_pos_count,Alexa_mean_median,Cy3_mean_median,DAPI_mean_median,Alexa_pos_percent,Cy3_pos_percent,Coexpress_percent,Sox2_pos_percent,Sample
Anterior,77,35,67,28,67,0.1229981705546379,0.3712396323680877,0.1715191155672073,45.45454545454545,87.01298701298701,36.36363636363637,87.01298701298701,ALL
Marginal,73,30,68,28,68,0.1230151131749153,0.3863842189311981,0.1848115622997284,41.0958904109589,93.15068493150685,38.35616438356164,93.15068493150685,ALL
Anterior,31,27,24,20,24,0.122543029487133,0.4313079416751861,0.1706573814153671,87.09677419354838,77.41935483870968,64.51612903225806,77.41935483870968,ALL
Marginal,32,28,24,20,24,0.1192200630903244,0.4892758876085281,0.2272831872105598,87.5,75.0,62.5,75.0,ALL
Anterior,157,126,121,109,121,0.0900950580835342,0.3958313465118408,0.200788989663124,80.2547770700637,77.07006369426752,69.42675159235668,77.07006369426752,ALL
Marginal,120,112,120,112,120,0.1020763516426086,0.4162029772996902,0.2520523220300674,93.33333333333331,100.0,93.33333333333331,100.0,ALL
Anterior,205,161,172,146,172,0.0892527624964714,0.324472039937973,0.1869706362485885,78.53658536585367,83.90243902439025,71.21951219512195,83.90243902439025,ALL
Marginal,205,165,172,145,172,0.0924113616347312,0.3145428597927093,0.1736356765031814,80.48780487804879,83.90243902439025,70.73170731707317,83.90243902439025,ALL
Anterior,84,64,52,40,52,0.1094835922122001,0.3398056626319885,0.1786786243319511,76.19047619047619,61.90476190476191,47.61904761904761,61.90476190476191,ALL
Marginal,65,48,52,40,52,0.1053774878382682,0.3632638156414032,0.1675707995891571,73.84615384615385,80.0,61.53846153846154,80.0,ALL
Anterior,77,35,67,28,67,0.1229981705546379,0.3712396323680877,0.1715191155672073,45.45454545454545,87.01298701298701,36.36363636363637,87.01298701298701,ALL
Marginal,73,30,68,28,68,0.1230151131749153,0.3863842189311981,0.1848115622997284,41.0958904109589,93.15068493150685,38.35616438356164,93.15068493150685,ALL
Anterior,31,27,24,20,24,0.122543029487133,0.4313079416751861,0.1706573814153671,87.09677419354838,77.41935483870968,64.51612903225806,77.41935483870968,ALL
Marginal,32,28,24,20,24,0.1192200630903244,0.4892758876085281,0.2272831872105598,87.5,75.0,62.5,75.0,ALL
Anterior,157,126,121,109,121,0.0900950580835342,0.3958313465118408,0.200788989663124,80.2547770700637,77.07006369426752,69.42675159235668,77.07006369426752,ALL
Marginal,120,112,120,112,120,0.1020763516426086,0.4162029772996902,0.2520523220300674,93.33333333333331,100.0,93.33333333333331,100.0,ALL
Anterior,205,161,172,146,172,0.0892527624964714,0.324472039937973,0.1869706362485885,78.53658536585367,83.90243902439025,71.21951219512195,83.90243902439025,ALL
Marginal,205,165,172,145,172,0.0924113616347312,0.3145428597927093,0.1736356765031814,80.48780487804879,83.90243902439025,70.73170731707317,83.90243902439025,ALL
Anterior,84,64,52,40,52,0.1094835922122001,0.3398056626319885,0.1786786243319511,76.19047619047619,61.90476190476191,47.61904761904761,61.90476190476191,ALL
Marginal,65,48,52,40,52,0.1053774878382682,0.3632638156414032,0.1675707995891571,73.84615384615385,80.0,61.53846153846154,80.0,ALL
Anterior,77,35,67,28,67,0.1229981705546379,0.3712396323680877,0.1715191155672073,45.45454545454545,87.01298701298701,36.36363636363637,87.01298701298701,sox2 cy3_growth_AS124_1
Marginal,73,30,68,28,68,0.1230151131749153,0.3863842189311981,0.1848115622997284,41.0958904109589,93.15068493150685,38.35616438356164,93.15068493150685,sox2 cy3_growth_AS124_1
Anterior,31,27,24,20,24,0.122543029487133,0.4313079416751861,0.1706573814153671,87.09677419354838,77.41935483870968,64.51612903225806,77.41935483870968,sox2 cy3_growth_AS124_2
Marginal,32,28,24,20,24,0.1192200630903244,0.4892758876085281,0.2272831872105598,87.5,75.0,62.5,75.0,sox2 cy3_growth_AS124_2
Anterior,157,126,121,109,121,0.0900950580835342,0.3958313465118408,0.200788989663124,80.2547770700637,77.07006369426752,69.42675159235668,77.07006369426752,sox2 cy3_growth_AS125_1
Marginal,120,112,120,112,120,0.1020763516426086,0.4162029772996902,0.2520523220300674,93.33333333333331,100.0,93.33333333333331,100.0,sox2 cy3_growth_AS125_1
Anterior,205,161,172,146,172,0.0892527624964714,0.324472039937973,0.1869706362485885,78.53658536585367,83.90243902439025,71.21951219512195,83.90243902439025,sox2 cy3_growth_AS125_2
Marginal,205,165,172,145,172,0.0924113616347312,0.3145428597927093,0.1736356765031814,80.48780487804879,83.90243902439025,70.73170731707317,83.90243902439025,sox2 cy3_growth_AS125_2
Anterior,84,64,52,40,52,0.1094835922122001,0.3398056626319885,0.1786786243319511,76.19047619047619,61.90476190476191,47.61904761904761,61.90476190476191,sox2 cy3_growth_AS137_1
Marginal,65,48,52,40,52,0.1053774878382682,0.3632638156414032,0.1675707995891571,73.84615384615385,80.0,61.53846153846154,80.0,sox2 cy3_growth_AS137_1
